Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Afghanistan,AFG,43.007,43.041,43.098,43.164,43.235,43.311,43.259,43.216,43.178,43.153,43.133,43.178,43.244,43.308,43.374,42.924,42.472,42.021,40.493,38.965,36.711,36.263,32.333,31.268
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Albania,ALB,48.925,48.76,48.943,48.608,48.118,47.416,46.701,45.606,46.243,47.473,47.422,51.86,49.365,44.101,43.778,45.96,48.473,50.152,52.006,53.392,50.001,51.336,53.304,53.507
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Algeria,DZA,30.789,31.677,32.087,32.827,35.219,36.01,37.051,36.179,36.975,37.221,37.556,37.686,37.393,38.958,36.58,37.033,37.6,36.805,36.706,36.642,33.893,34.39,36.593,37.139
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Angola,AGO,64.5,64.47,64.673,64.637,64.735,64.728,64.9,64.96,64.884,64.668,64.473,64.35,64.33,64.151,63.994,63.656,63.317,63.028,62.793,62.642,62.55,64.304,64.447,64.492
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Argentina,ARG,52.96,50.99,48.436,51.697,53.566,54.43,55.571,55.941,55.692,55.523,55.549,56.295,56.002,55.703,55.119,54.739,54.249,53.899,54.105,54.357,49.6,55.085,56.351,56.613
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Armenia,ARM,55.273,55.084,54.845,54.596,54.391,54.246,54.187,54.27,54.037,54.557,54.575,54.481,54.347,54.262,54.165,54.069,53.979,53.807,53.592,55.218,54.556,56.445,56.548,56.16
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
